brand_name,model_name,store_name,store_id,price_brl,url,is_active,id,paddle_id,last_updated,version_id
Joola,Anna Bright Scorpeus 3S,yoSports,17,1499.0,https://yosports.com.br/products/raquete-de-pickleball-joola-anna-bright-scorpeus-3s-14mm,True,91,8279b26b-b3f8-4474-be5e-46c3225ff078,2026-03-22 20:48:09.037859,
Joola,Agassi Pro Iv,yoSports,17,1599.0,https://yosports.com.br/products/raquete-de-pickleball-joola-agassi-pro-iv-14mm,True,92,0955fac3-eb95-4ddf-8425-e6bdba62a412,2026-03-22 20:48:09.053520,
Drop Shot,Conqueror Attack,yoSports,17,749.0,https://yosports.com.br/products/raquete-de-pickleball-drop-shot-conqueror-attack,True,93,24206d58-4d84-4c5b-b0fe-27db6f308629,2026-03-22 20:48:09.061756,
Adidas,Adipower Carbon Control,yoSports,17,799.0,https://yosports.com.br/products/raquete-de-pickleball-adidas-adipower-carbon-control-16mm,True,94,22c0797b-e303-411f-a76c-a2c95e85e254,2026-03-22 20:48:09.070993,
Adidas,Adipower Carbon Attk,yoSports,17,990.0,https://yosports.com.br/products/raquete-de-pickleball-adidas-adipower-carbon-attk-16mm,True,95,d3c901e1-c977-40e1-a8da-4187716f725d,2026-03-22 20:48:09.076223,
3Rdshot,Touch Control 16Mm,Brazil Pickleball Store,21,474.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-touch-control-16mm/,True,96,4bc7d07e-ecfb-4bdb-aacc-10803f3c385a,2026-03-22 20:49:20.161071,
Selkirk,Labs Project Boomstik Enlongated,Brazil Pickleball Store,21,2599.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-boom-stik-enlongated-16mm/,True,97,d5513f03-b182-4569-abb5-6b39d435a953,2026-03-22 20:49:20.170660,
3Rdshot,Oberon Mini,Brazil Pickleball Store,21,109.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-oberon-mini/,True,98,decbaa68-9d01-4cc3-877d-09b354d2ed3a,2026-03-22 20:49:20.176432,
Selkirk,Invikta Luxx Control Infinigrit,Brazil Pickleball Store,21,2309.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-invikta-luxx-control-infinigrit-19mm/,True,99,3a0dcb56-3597-4505-b320-cda4e319d0ef,2026-03-22 20:49:20.180688,
Selkirk,Invikta Amped Pro Air,Brazil Pickleball Store,21,1272.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-invikta-amped-pro-air/,True,100,bae1aea1-9a7e-49bf-afab-cf233c8e6e8f,2026-03-22 20:49:20.184726,
Paddletek,Bantam Alw-C 14.3Mm Anna Leight Waters,Brazil Pickleball Store,21,1889.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-bantam-alw-c-14-3mm-anna-leight-waters/,True,101,a565cd79-7690-4b1c-b464-d5b90f20919c,2026-03-22 20:49:20.195122,
Selkirk,Labs Project Boom Stik Widebody,Brazil Pickleball Store,21,2599.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-boom-stik-widebody-16mm/,True,102,e579c945-361c-41b2-a862-b0c569727ab4,2026-03-22 20:49:20.204886,
Proxr,Signature Series 16Mm,Brazil Pickleball Store,21,1082.0,https://www.brazilpickleballstore.com.br/produtos/raquete-proxr-signature-series-16mm/,True,103,234025c3-80b2-4f54-b804-ac8404bb4391,2026-03-22 20:49:20.216496,
Paddletek,Bantam Alw-C 12.7Mm Anna Leight Waters,Brazil Pickleball Store,21,1889.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-bantam-alw-c-12-7mm-anna-leight-waters/,True,104,29dfd9bf-1b86-4fda-8919-53e2e937ace5,2026-03-22 20:49:20.224676,
Proxr,Sweet Spot Max Series 13Mm,Brazil Pickleball Store,21,1082.0,https://www.brazilpickleballstore.com.br/produtos/raquete-proxr-sweet-spot-max-series-13mm/,True,105,a546a6d4-b9ff-4b95-b39f-0c1f4784fa3e,2026-03-22 20:49:20.231553,
Selkirk,Labs Project Boomstik Enlongated 16Mm - Jack Sock,Brazil Pickleball Store,21,2599.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-boomstik-enlongated-16mm-jack-sock-wo0a8/,True,106,05605975-a907-41da-907a-44565e8cff97,2026-03-22 20:49:20.236815,
3Rdshot,Venus,Brazil Pickleball Store,21,899.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-venus-16mm-tuckj/,True,107,c4d99c8b-e9c4-4e08-a5da-d4b615de8fb2,2026-03-22 20:49:20.242996,
Proxr,Sweet Spot Max Series 16Mm,Brazil Pickleball Store,21,1082.0,https://www.brazilpickleballstore.com.br/produtos/raquete-proxr-sweet-spot-max-series-16mm/,True,108,aa048044-ff1d-4be7-92cc-f0ece3fdbc15,2026-03-22 20:49:20.248511,
Paddletek,Tempest Wave Pro-C 14.3Mm,Brazil Pickleball Store,21,1069.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-tempest-wave-pro-c-14-3mm/,True,109,5a133c01-4748-41fe-9c26-e7e7bf9cb1f0,2026-03-22 20:49:20.253682,
3Rdshot,Venus 16Mm Nova Geração,Brazil Pickleball Store,21,1199.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-venus-16mm-nova-geracao-6schs/,True,110,05e23775-2671-4bcf-ba8a-e1b3c93d483d,2026-03-22 20:49:20.259685,
Slk,Era Enlongated 16Mm Sunset - Edition Limited,Brazil Pickleball Store,21,1889.0,https://www.brazilpickleballstore.com.br/produtos/raquete-slk-era-enlongated-16mm-sunset-edition-limited-stk7e/,True,111,25462bf9-1efb-4634-b918-3b2234cbd2b2,2026-03-22 20:49:20.265945,
3Rdshot,Oberon,Brazil Pickleball Store,21,1099.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-oberon-16mm-sdou0/,True,112,71815b53-d7f0-4ea5-94b9-fee8ac72d2e4,2026-03-22 20:49:20.270911,
4X,Raquete 3Rdshot Start 16Mm,Brazil Pickleball Store,21,949.0,https://www.brazilpickleballstore.com.br/produtos/kit-4x-raquete-3rdshot-start-16mm-k76i0/,True,113,205ced2b-ee32-44bf-94eb-2109cf0e032d,2026-03-22 20:49:20.276424,
3Rdshot,Touch Control 16Mm Edição Especial,Brazil Pickleball Store,21,474.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-touch-control-16mm-edicao-especial-mpttr/,True,114,e35df38c-7086-4113-82bf-5df1dc1db8df,2026-03-22 20:49:20.280556,
Selkirk,Labs Project 008 Invikta,Brazil Pickleball Store,21,2197.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-008-invikta-16mm-pojrk/,True,115,e4c4e3ca-b1b2-438e-9635-d5b3d068f095,2026-03-22 20:49:20.288384,
3Rdshot,Start,Brazil Pickleball Store,21,367.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-start-16mm/,True,116,092b20cf-e851-4398-8216-6de8d963f23b,2026-03-22 20:49:20.295677,
Engage,Pursuit Pro1 Widebody 12.7Mm,Brazil Pickleball Store,21,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-widebody-12-7mm/,True,117,77bf5a4a-8cca-4b8f-935e-054757a0e085,2026-03-22 20:49:20.301583,
Engage,Pursuit Pro1 6.0 Widebody 15.2Mm,Brazil Pickleball Store,21,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-6-0-widebody-15-2mm/,True,118,df8e6ab6-c428-4b60-ab64-dfc9b0a47df1,2026-03-22 20:49:20.308536,
Engage,Pursuit Pro1 6.0 Hybrid 15.2Mm,Brazil Pickleball Store,21,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-6-0-hybrid-15-2mm/,True,119,f2c859c9-62e1-4b9a-9603-150ec6691bb7,2026-03-22 20:49:20.316266,
Selkirk,Invikta Amped Pro Air Jack Sock,Brazil Pickleball Store,21,1329.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-invikta-amped-pro-air-jack-sock/,True,120,505b192b-b7fc-4ab8-863a-c256cd47fccc,2026-03-22 20:49:20.327394,
Paddletek,Bantam Tko-C 12.7Mm,Brazil Pickleball Store,21,1074.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-bantam-tko-c-12-7mm/,True,121,96e84d6c-7e01-4391-8666-2251bad92b25,2026-03-22 20:49:20.342765,
